timestamp,open,high,low,close,volume,ma5,ma20,ma50,ma5_20_diff,ma20_50_diff,future_return
2025-09-13 12:00:00,115974.11,116060.0,115872.82,116002.91,204.03439,115985.67,115984.5115,115349.8306,1.1585000000050059,634.6808999999921,-0.002084947696570749
2025-09-13 13:00:00,116002.91,116002.91,115621.65,115761.05,440.12472,115942.278,115981.80600000001,115385.0518,-39.528000000005704,596.7542000000103,0.0003164276758027551
2025-09-13 14:00:00,115761.06,115950.0,115603.98,115797.68,438.72685,115894.74799999999,115947.38100000001,115421.48559999999,-52.63300000001618,525.8954000000231,-0.0002504367963157561
2025-09-13 15:00:00,115797.67,115924.6,115619.57,115768.68,290.44971,115860.88599999998,115904.18950000001,115444.29760000002,-43.30350000002363,459.8918999999878,-0.0037547288264839773
2025-09-13 16:00:00,115768.68,115817.37,115127.27,115334.0,700.8183,115732.86400000002,115863.023,115461.70300000001,-130.1589999999851,401.31999999999243,0.002061664383442796
2025-09-13 17:00:00,115333.99,115587.49,115180.0,115571.78,465.25625,115646.63799999999,115848.3175,115489.5324,-201.67950000001292,358.78510000000824,0.0005376745084311185
2025-09-13 18:00:00,115571.79,115653.26,115433.09,115633.92,160.49564,115621.21199999998,115828.64050000001,115512.4602,-207.42850000002363,316.18030000000726,0.0014113505794839387
2025-09-13 19:00:00,115633.91,115800.88,115570.78,115797.12,263.39165,115621.1,115817.02549999999,115536.6058,-195.925499999983,280.419699999984,0.0009392288858307563
2025-09-13 20:00:00,115797.12,115991.29,115797.11,115905.88,220.70474,115648.54,115801.85350000001,115568.47639999999,-153.3135000000184,233.37710000002699,-9.050446793557043e-05
2025-09-13 21:00:00,115905.88,115972.52,115839.98,115895.39,234.38734,115760.818,115808.40799999998,115597.98440000002,-47.589999999981956,210.42359999996552,-0.0002054438921168522
2025-09-13 22:00:00,115895.4,115944.64,115809.9,115871.58,159.45156,115820.778,115807.6785,115627.49620000001,13.099500000011176,180.18229999998584,0.0004031186939885689
2025-09-13 23:00:00,115871.58,115979.99,115861.39,115918.29,146.1408,115877.652,115805.74299999999,115656.20820000001,71.9090000000142,149.53479999997944,0.00014932932499278628
2025-09-14 00:00:00,115918.29,116000.0,115815.13,115935.6,153.28277,115905.348,115817.603,115673.2402,87.74499999999534,144.3628000000026,0.00023573432146806184
2025-09-14 01:00:00,115935.61,115990.2,115744.67,115962.93,185.94891,115916.758,115830.54750000002,115682.845,86.2104999999865,147.70250000001397,-0.0009484065295694011
2025-09-14 02:00:00,115962.92,116109.0,115750.0,115852.95,267.49819,115908.26999999999,115835.69549999999,115683.09019999999,72.57450000000244,152.60529999999562,-0.0014930133414815527
